table_catalog,table_schema,table_name,table_type,n_columns,columns_preview,inventory_class,columns_preview_600
thyroid_canonical_publication_v1_0,main,manuscript_cohort_v1,BASE TABLE,151,"research_id, age_at_surgery, sex, race, demo_source, demo_confidence, path_histology_raw, histology_final, histology_source, path_histology_variant_raw, path_t_stage_raw, path_n_stage_raw, path_m_stage_raw, path_stage_raw, path_tumor_size_cm, path_ete_raw, ete_grade_final, ete_grade_source, path_gross_ete_flag, path_vascular_invasion_raw, vascular_invasion_final, vascular_vessel_count, path_lvi_raw, path_pni_raw, path_margin_raw, margin_status_final, closest_margin_mm, path_ln_positive_raw, path_ln_examined_raw, ln_positive_final, path_ene_raw, path_laterality, path_multifocal_flag, path_n_tumors, first_surgery_date, lateral_neck_dissected, mol_platform, mol_test_date, mol_n_tests, braf_positive_final, braf_source, braf_variant_raw, ras_positive_final, ras_subtype_raw, tert_positive_final, fna_bethesda_final, fna_bethesda_source, fna_bethesda_confidence, imaging_tirads_best, imaging_tirads_worst, imaging_tirads_category, imaging_tirads_source, imaging_nodule_size_cm, imaging_n_nodule_records, surg_procedure_type, surg_first_date, surg_n_procedures, surg_total_thyroidectomy, surg_hemithyroidectomy, rai_received_flag, rai_first_date, rai_max_dose_mci, rai_assertion_statuses, ajcc8_t_stage, ajcc8_n_stage, ajcc8_m_stage, ajcc8_stage_group, ajcc8_calculable_flag, ajcc8_missing_components, ata_risk_category, ata_calculable_flag, ata_response_category, ata_response_calculable_flag, macis_score, macis_risk_group, macis_calculable_flag, ages_score, ames_risk_group, ln_ratio, ln_burden_band, molecular_risk_tier, hypocalcemia_status, hypoparathyroidism_status, rln_status, hematoma_status, seroma_status, chyle_leak_status, wound_infection_status, any_confirmed_complication, n_confirmed_complications, calcium_supplement_required, rln_permanent_flag, rln_transient_flag, tg_nadir, tg_last_value, tg_peak, tg_n_measurements, tg_rising_flag, tg_below_threshold_ever, anti_tg_nadir, anti_tg_rising_flag, tsh_suppressed_ever, pth_nadir, calcium_nadir, postop_low_pth_flag, postop_low_calcium_flag, lab_completeness_score, any_recurrence_flag, recurrence_date, structural_recurrence_flag, biochemical_recurrence_flag, recurrence_type_primary, recurrence_site_primary, recurrence_source, date_traceability_status, provenance_confidence, analysis_eligible_flag, molecular_eligible_flag, rai_eligible_flag, survival_eligible_flag, scoring_ajcc8_flag, scoring_ata_flag, scoring_macis_flag, resolved_layer_version, source_script, resolved_at, surgery_date, path_ete_final, mol_braf_positive_final, mol_tert_positive_final, path_multifocal_final, path_age_at_surgery_raw, demo_sex_final, demo_race_final, cohort_build_timestamp, cohort_resolved_layer_version, freeze_git_sha, motherduck_database, pipeline_version, op_rln_monitoring_any, op_drain_placed_any, op_strap_muscle_any, op_reoperative_any, op_parathyroid_autograft_any, op_local_invasion_any, op_tracheal_inv_any, op_esophageal_inv_any, op_intraop_gross_ete_any, op_n_surgeries_with_findings, op_findings_summary, fna_path_outcome",US_RELATED_TABLE,"research_id, age_at_surgery, sex, race, demo_source, demo_confidence, path_histology_raw, histology_final, histology_source, path_histology_variant_raw, path_t_stage_raw, path_n_stage_raw, path_m_stage_raw, path_stage_raw, path_tumor_size_cm, path_ete_raw, ete_grade_final, ete_grade_source, path_gross_ete_flag, path_vascular_invasion_raw, vascular_invasion_final, vascular_vessel_count, path_lvi_raw, path_pni_raw, path_margin_raw, margin_status_final, closest_margin_mm, path_ln_positive_raw, path_ln_examined_raw, ln_positive_final, path_ene_raw, path_laterality, path_multifocal_flag, path_n_tum"
thyroid_canonical_publication_v1_0,main,molecular_fusions_unnested_VIEW_v2,VIEW,11,"research_id, molecular_episode_id, test_date_native, platform, gene1, gene2, fusion_pair, source_call, fusions_status_for_test, rom_percent_point, rom_descriptor",US_RELATED_TABLE,"research_id, molecular_episode_id, test_date_native, platform, gene1, gene2, fusion_pair, source_call, fusions_status_for_test, rom_percent_point, rom_descriptor"
thyroid_canonical_publication_v1_0,main,specimen_tumor_focus_v1,BASE TABLE,21,"specimen_focus_id, focus_fingerprint_sha256, specimen_id, master_fingerprint_sha256, synoptic_row_ix, research_id, surg_date, surg_date_canonical, encounter_synoptic_row_ix, tumor_index, site_text, histologic_type, surgery_episode_id, path_surgery_id, tumor_ordinal, linkage_confidence_tier, linkage_score, materialized_at, fingerprint_input_focus_canonical, identity_build_run_id, identity_built_at",US_RELATED_TABLE,"specimen_focus_id, focus_fingerprint_sha256, specimen_id, master_fingerprint_sha256, synoptic_row_ix, research_id, surg_date, surg_date_canonical, encounter_synoptic_row_ix, tumor_index, site_text, histologic_type, surgery_episode_id, path_surgery_id, tumor_ordinal, linkage_confidence_tier, linkage_score, materialized_at, fingerprint_input_focus_canonical, identity_build_run_id, identity_built_at"
thyroid_canonical_publication_v1_0,main,val_mig171b_canonical_us_ln_build_v1,BASE TABLE,7,"check_id, status, observed_value, expected_or_reference, notes, validated_at, validation_migration",US_RELATED_TABLE,"check_id, status, observed_value, expected_or_reference, notes, validated_at, validation_migration"
thyroid_canonical_publication_v1_0,manuscript_workspace,canonical_molecular_genetics_v2_status_clean,VIEW,82,"research_id, molecular_episode_id, test_date_native, resolved_test_date, platform, platform_raw, platform_version, bethesda_category, specimen_site_normalized, linked_fna_episode_id, linked_nodule_id, linked_surgery_episode_id, parser, parse_status, n_fields_parsed, test_result_summary, rom_descriptor, rom_percent_raw, rom_percent_low, rom_percent_high, rom_percent_point, rom_description, specimen_adequacy_raw, specimen_adequacy_norm, gene_mutations_raw, gene_mutations_status, gene_fusions_raw, gene_fusions_status, cna_raw, cna_status, gep_raw, gep_status, gep_detail, parathyroid_raw, parathyroid_status, medullary_raw, medullary_status, gene_mutations_variants, gene_fusions_list, tert_present, tert_promoter_variant, afirma_braf_result, afirma_mtc_result, afirma_tert_c228t_result, afirma_tert_c250t_result, afirma_retptc_result, braf_flag, braf_variant, ras_flag, ras_subtype, ret_flag, ret_fusion_flag, tert_flag, ntrk_flag, eif1ax_flag, tp53_flag, pax8_pparg_flag, cna_flag, fusion_flag, loh_flag, alk_flag, high_risk_marker_flag, inadequate_flag, cancelled_flag, overall_result_class, report_text_ref, report_text_source, report_text_length, report_source_table, ingestion_source, adjudication_status, molecular_confidence, built_at, builder_version, gene_mutations_status_norm, gene_fusions_status_norm, cna_status_norm, gep_status_norm, parathyroid_status_norm, medullary_status_norm, gen12_status_nonstandard_flag, gen05_molecular_confidence_stub_flag",US_RELATED_TABLE,"research_id, molecular_episode_id, test_date_native, resolved_test_date, platform, platform_raw, platform_version, bethesda_category, specimen_site_normalized, linked_fna_episode_id, linked_nodule_id, linked_surgery_episode_id, parser, parse_status, n_fields_parsed, test_result_summary, rom_descriptor, rom_percent_raw, rom_percent_low, rom_percent_high, rom_percent_point, rom_description, specimen_adequacy_raw, specimen_adequacy_norm, gene_mutations_raw, gene_mutations_status, gene_fusions_raw, gene_fusions_status, cna_raw, cna_status, gep_raw, gep_status, gep_detail, parathyroid_raw, parathyr"
thyroid_canonical_publication_v1_0,manuscript_workspace,canonical_us_nodule_v2_filtered,VIEW,61,"research_id, us_exam_id, exam_date, nodule_index_within_exam, nodule_id, laterality, location_raw, location_detail, length_mm, width_mm, height_mm, volume_ml, size_cm_max, extracted_size_cm, composition, echogenicity, shape, margins, calcifications, echogenic_foci, halo, vascularity, extrathyroidal_extension_on_us, chammas_type, elastography_category, composition_pts, echogenicity_pts, shape_pts, margin_pts, foci_pts, tirads_reported_in_text, acr2017_tirads_points, acr2017_tirads_category, updated_tirads_category, acr2017_band_ambiguous, acr2017_vs_updated_concordant, suspicious_flag, acr2017_feature_points_complete, interval_growth_flag, prior_size_mm_max, fna_recommended_this_nodule, fna_performed_prior_or_concurrent, comparison_statement, source_base, source_tirads_v2, source_tirads_llm, source_dynamics_llm, source_fna_linkage, source_us_nodules_tirads, source_tables_cunc_legacy, data_completeness_pct, resolution_rule, calcifications_coverage_status, nodule_master_id, is_aggregate_row, nlp_backfill_pending, source_modality, size_all_null_flag, location_all_null_flag, us_row_type, us_resolution_strength",US_RELATED_TABLE,"research_id, us_exam_id, exam_date, nodule_index_within_exam, nodule_id, laterality, location_raw, location_detail, length_mm, width_mm, height_mm, volume_ml, size_cm_max, extracted_size_cm, composition, echogenicity, shape, margins, calcifications, echogenic_foci, halo, vascularity, extrathyroidal_extension_on_us, chammas_type, elastography_category, composition_pts, echogenicity_pts, shape_pts, margin_pts, foci_pts, tirads_reported_in_text, acr2017_tirads_points, acr2017_tirads_category, updated_tirads_category, acr2017_band_ambiguous, acr2017_vs_updated_concordant, suspicious_flag, acr2017_"
thyroid_canonical_publication_v1_0,manuscript_workspace,canonical_us_nodule_v2_tirads_guard,VIEW,60,"research_id, us_exam_id, exam_date, nodule_index_within_exam, nodule_id, laterality, location_raw, location_detail, length_mm, width_mm, height_mm, volume_ml, size_cm_max, extracted_size_cm, composition, echogenicity, shape, margins, calcifications, echogenic_foci, halo, vascularity, extrathyroidal_extension_on_us, chammas_type, elastography_category, composition_pts, echogenicity_pts, shape_pts, margin_pts, foci_pts, tirads_reported_in_text, acr2017_tirads_points, acr2017_tirads_category, updated_tirads_category, acr2017_band_ambiguous, acr2017_vs_updated_concordant, suspicious_flag, acr2017_feature_points_complete, interval_growth_flag, prior_size_mm_max, fna_recommended_this_nodule, fna_performed_prior_or_concurrent, comparison_statement, source_base, source_tirads_v2, source_tirads_llm, source_dynamics_llm, source_fna_linkage, source_us_nodules_tirads, source_tables_cunc_legacy, data_completeness_pct, resolution_rule, calcifications_coverage_status, nodule_master_id, is_aggregate_row, nlp_backfill_pending, source_modality, tirads_band_expected, tirads_band_mismatch_flag, tirads_concordance_mismatch_flag",US_RELATED_TABLE,"research_id, us_exam_id, exam_date, nodule_index_within_exam, nodule_id, laterality, location_raw, location_detail, length_mm, width_mm, height_mm, volume_ml, size_cm_max, extracted_size_cm, composition, echogenicity, shape, margins, calcifications, echogenic_foci, halo, vascularity, extrathyroidal_extension_on_us, chammas_type, elastography_category, composition_pts, echogenicity_pts, shape_pts, margin_pts, foci_pts, tirads_reported_in_text, acr2017_tirads_points, acr2017_tirads_category, updated_tirads_category, acr2017_band_ambiguous, acr2017_vs_updated_concordant, suspicious_flag, acr2017_"
thyroid_canonical_publication_v1_0,manuscript_workspace,canonical_us_thyroid_gland_v2_shape,VIEW,35,"research_id, us_exam_id, exam_date, rl_length_cm, rl_width_cm, rl_depth_cm, rl_volume_ml, ll_length_cm, ll_width_cm, ll_depth_cm, ll_volume_ml, isthmus_thickness_mm, pyramidal_present_flag, substernal_extension_flag, total_thyroid_volume_ml, total_thyroid_size_text, background_echogenicity, heterogeneity, hashimoto_pattern, vascularity_overall, calcifications_parenchymal, goiter_flag, clinical_impression_text, source_us_impression_text, recommendation_text, radiologist, study_indication, source_ultrasound_reports, source_us_nodules_tirads, nlp_backfill_pending, extracted_at, build_script, shell_row_flag, parenchymal_all_null_flag, gland_row_type",US_RELATED_TABLE,"research_id, us_exam_id, exam_date, rl_length_cm, rl_width_cm, rl_depth_cm, rl_volume_ml, ll_length_cm, ll_width_cm, ll_depth_cm, ll_volume_ml, isthmus_thickness_mm, pyramidal_present_flag, substernal_extension_flag, total_thyroid_volume_ml, total_thyroid_size_text, background_echogenicity, heterogeneity, hashimoto_pattern, vascularity_overall, calcifications_parenchymal, goiter_flag, clinical_impression_text, source_us_impression_text, recommendation_text, radiologist, study_indication, source_ultrasound_reports, source_us_nodules_tirads, nlp_backfill_pending, extracted_at, build_script, shel"
thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m011_tirads_fna_genetics_v1,VIEW,25,"research_id, age_at_surgery, sex, surg_procedure_type, is_malignant, histology_final, tumor_size_cm, tirads_best_category_v12, tirads_worst_category_v12, tirads_best_score_v12, tirads_nodule_size_max_mm_v12, bethesda_final, n_fna_episodes, fna_path_concordance_category, mol_has_thyroseq, mol_has_afirma, molecular_tested_confirmed, molecular_risk_tier, braf_positive_final, ras_positive_final, ajcc8_stage_group, ata_risk_category, ln_positive_flag, any_recurrence_flag, overall_survival_years",US_RELATED_TABLE,"research_id, age_at_surgery, sex, surg_procedure_type, is_malignant, histology_final, tumor_size_cm, tirads_best_category_v12, tirads_worst_category_v12, tirads_best_score_v12, tirads_nodule_size_max_mm_v12, bethesda_final, n_fna_episodes, fna_path_concordance_category, mol_has_thyroseq, mol_has_afirma, molecular_tested_confirmed, molecular_risk_tier, braf_positive_final, ras_positive_final, ajcc8_stage_group, ata_risk_category, ln_positive_flag, any_recurrence_flag, overall_survival_years"
thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m025_tirads_performance_v1,VIEW,23,"research_id, age_at_surgery, sex, race, preop_tirads_category, tirads_best_category_v12, tirads_worst_category_v12, tirads_best_score_v12, tirads_worst_score_v12, tirads_worst_rank_source, n_us_exams, imaging_nodule_size_cm, dominant_nodule_size_cm, bethesda_final, bethesda_final_name, histology_final, is_malignant, tumor_size_cm, path_tumor_size_cm, fna_path_concordance_category, fna_path_concordant, surg_procedure_type, surg_first_date",US_RELATED_TABLE,"research_id, age_at_surgery, sex, race, preop_tirads_category, tirads_best_category_v12, tirads_worst_category_v12, tirads_best_score_v12, tirads_worst_score_v12, tirads_worst_rank_source, n_us_exams, imaging_nodule_size_cm, dominant_nodule_size_cm, bethesda_final, bethesda_final_name, histology_final, is_malignant, tumor_size_cm, path_tumor_size_cm, fna_path_concordance_category, fna_path_concordant, surg_procedure_type, surg_first_date"
thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m075_tirads_multi_nodule_v1,VIEW,22,"research_id, age_at_surgery, sex, surg_procedure_type, is_malignant, histology_final, tumor_size_cm, tirads_best_category_v12, tirads_worst_category_v12, tirads_best_score_v12, tirads_worst_score_v12, tirads_nodule_size_max_mm_v12, tirads_n_nodule_records_v12, bethesda_final, n_fna_episodes, fna_path_concordance_category, molecular_tested_confirmed, ajcc8_stage_group, ata_risk_category, ln_positive_flag, any_recurrence_flag, overall_survival_years",US_RELATED_TABLE,"research_id, age_at_surgery, sex, surg_procedure_type, is_malignant, histology_final, tumor_size_cm, tirads_best_category_v12, tirads_worst_category_v12, tirads_best_score_v12, tirads_worst_score_v12, tirads_nodule_size_max_mm_v12, tirads_n_nodule_records_v12, bethesda_final, n_fna_episodes, fna_path_concordance_category, molecular_tested_confirmed, ajcc8_stage_group, ata_risk_category, ln_positive_flag, any_recurrence_flag, overall_survival_years"
thyroid_canonical_publication_v1_0,manuscript_workspace,cpm_tirads_audit_classification_v1,BASE TABLE,17,"column_name, data_type, proposed_v2_counterpart, v2_data_type, n_populated_legacy, n_populated_v2, n_both_populated, n_both_agree, n_both_disagree, n_legacy_only, n_v2_only, n_both_null, writer_scripts, reader_scripts, recommendation, rationale, note",US_RELATED_TABLE,"column_name, data_type, proposed_v2_counterpart, v2_data_type, n_populated_legacy, n_populated_v2, n_both_populated, n_both_agree, n_both_disagree, n_legacy_only, n_v2_only, n_both_null, writer_scripts, reader_scripts, recommendation, rationale, note"
thyroid_canonical_publication_v1_0,manuscript_workspace,cpm_tirads_canonical_coverage_v1,BASE TABLE,7,"column_name, cpm_dtype, canonical_table, canonical_column, canonical_dtype, coverage_status, notes",US_RELATED_TABLE,"column_name, cpm_dtype, canonical_table, canonical_column, canonical_dtype, coverage_status, notes"
thyroid_canonical_publication_v1_0,manuscript_workspace,ete_manuscript_analytic_v1,VIEW,43,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance_flag, ajcc_overall_stage_trusted, procedure_normalized_trusted, surgery_date_native, surgery_laterality_trusted, max_preop_bethesda, braf_variant_derived, ras_flag, tert_flag, ret_fusion_flag, recurrence_ever_trusted, days_to_first_recurrence, last_known_alive_date, vital_status_trusted, ete_source_table, build_ts",US_RELATED_TABLE,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance"
thyroid_canonical_publication_v1_0,manuscript_workspace,ete_manuscript_analytic_v2,VIEW,49,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance_flag, ajcc_overall_stage_trusted, procedure_normalized_trusted, surgery_date_native, surgery_laterality_trusted, max_preop_bethesda, braf_variant_derived, ras_flag, tert_flag, ret_fusion_flag, recurrence_ever_trusted, days_to_first_recurrence, last_known_alive_date, vital_status_trusted, ete_source_table, build_ts, ete_grade_llm, has_gross_llm, has_micro_llm, llm_ete_mention_count, ete_grade_final, ete_grade_source",US_RELATED_TABLE,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance"
thyroid_canonical_publication_v1_0,manuscript_workspace,ete_manuscript_analytic_v3,VIEW,59,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance_flag, ajcc_overall_stage_trusted, procedure_normalized_trusted, surgery_date_native, surgery_laterality_trusted, max_preop_bethesda, braf_variant_derived, ras_flag, tert_flag, ret_fusion_flag, recurrence_ever_trusted, days_to_first_recurrence, last_known_alive_date, vital_status_trusted, ete_source_table, build_ts, ete_grade_llm, has_gross_llm, has_micro_llm, llm_ete_mention_count, ete_grade_final, ete_grade_source, ete_grade_fresh_llm, has_gross_fresh, has_micro_fresh, has_absent_fresh, fresh_evidence_quotes, fresh_best_confidence, fresh_ajcc8_implications, llm_fresh_mention_count, ete_grade_final_v3, ete_grade_source_v3",US_RELATED_TABLE,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance"
thyroid_canonical_publication_v1_0,manuscript_workspace,ete_manuscript_analytic_v4,VIEW,68,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance_flag, ajcc_overall_stage_trusted, procedure_normalized_trusted, surgery_date_native, surgery_laterality_trusted, max_preop_bethesda, braf_variant_derived, ras_flag, tert_flag, ret_fusion_flag, recurrence_ever_trusted, days_to_first_recurrence, last_known_alive_date, vital_status_trusted, ete_source_table, build_ts, ete_grade_llm, has_gross_llm, has_micro_llm, llm_ete_mention_count, ete_grade_final, ete_grade_source, ete_grade_fresh_llm, has_gross_fresh, has_micro_fresh, has_absent_fresh, fresh_evidence_quotes, fresh_best_confidence, fresh_ajcc8_implications, llm_fresh_mention_count, ete_grade_final_v3, ete_grade_source_v3, pm_ete_grade_clean, pm_ete_grade_source, pm_ete_grade_adjudicated, pm_ete_adjudicated_flag, ete_grade_final_v4, ete_grade_source_v4, ete_grade_pm_disagreement_flag, ete_self_contradiction_open_flag, analytic_eligible_v4",US_RELATED_TABLE,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance"
thyroid_canonical_publication_v1_0,manuscript_workspace,ete_manuscript_analytic_v6,VIEW,77,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance_flag, ajcc_overall_stage_trusted, procedure_normalized_trusted, surgery_date_native, surgery_laterality_trusted, max_preop_bethesda, braf_variant_derived, ras_flag, tert_flag, ret_fusion_flag, recurrence_ever_trusted, days_to_first_recurrence, last_known_alive_date, vital_status_trusted, ete_source_table, build_ts, ete_grade_llm, has_gross_llm, has_micro_llm, llm_ete_mention_count, ete_grade_final, ete_grade_source, ete_grade_fresh_llm, has_gross_fresh, has_micro_fresh, has_absent_fresh, fresh_evidence_quotes, fresh_best_confidence, fresh_ajcc8_implications, llm_fresh_mention_count, ete_grade_final_v3, ete_grade_source_v3, pm_ete_grade_clean, pm_ete_grade_source, pm_ete_grade_adjudicated, pm_ete_adjudicated_flag, ete_grade_final_v4, ete_grade_source_v4, ete_grade_pm_disagreement_flag, ete_self_contradiction_open_flag, analytic_eligible_v4, inline_grade, inline_set, inline_evidence, inline_source, inline_evt_grade, inline_evt_evidence, inline_evt_set, ete_grade_final_v6, ete_grade_source_v6",US_RELATED_TABLE,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance"
thyroid_canonical_publication_v1_0,manuscript_workspace,ete_manuscript_analytic_v7,VIEW,90,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance_flag, ajcc_overall_stage_trusted, procedure_normalized_trusted, surgery_date_native, surgery_laterality_trusted, max_preop_bethesda, braf_variant_derived, ras_flag, tert_flag, ret_fusion_flag, recurrence_ever_trusted, days_to_first_recurrence, last_known_alive_date, vital_status_trusted, ete_source_table, build_ts, ete_grade_llm, has_gross_llm, has_micro_llm, llm_ete_mention_count, ete_grade_final, ete_grade_source, ete_grade_fresh_llm, has_gross_fresh, has_micro_fresh, has_absent_fresh, fresh_evidence_quotes, fresh_best_confidence, fresh_ajcc8_implications, llm_fresh_mention_count, ete_grade_final_v3, ete_grade_source_v3, pm_ete_grade_clean, pm_ete_grade_source, pm_ete_grade_adjudicated, pm_ete_adjudicated_flag, ete_grade_final_v4, ete_grade_source_v4, ete_grade_pm_disagreement_flag, ete_self_contradiction_open_flag, analytic_eligible_v4, inline_grade, inline_set, inline_evidence, inline_source, inline_evt_grade, inline_evt_evidence, inline_evt_set, ete_grade_final_v6, ete_grade_source_v6, recurrence_path_proven, recurrence_path_proven_date, recurrence_path_proven_source, days_to_path_proven, recurrence_imaging_suspicious, recurrence_imaging_suspicious_date, recurrence_imaging_modality, recurrence_imaging_modality_summary, recurrence_imaging_finding_text, recurrence_imaging_n_events, days_to_imaging_suspicious, recurrence_imaging_then_path_confirmed, recurrence_status_final",US_RELATED_TABLE,"research_id, path_surgery_id, surgery_episode_id_global, tumor_ordinal, specimen_id, synoptic_row_ix, cohort_ptc, cohort_descriptive_full, analytic_eligible, ete_raw, ete_norm, gross_ete_effective, ete_cpm_self_contradiction_flag, primary_histology_trusted, histology_variant_trusted, size_greatest_dimension_cm_trusted, size_flag_queue_status, laterality_trusted, multifocal_flag, vascular_invasion_trusted, lymphatic_invasion_trusted, perineural_invasion_trusted, ln_examined_total, ln_positive_total, ln_denominator_reliable_flag, reported_t_stage_ajcc8, derived_t_stage_ajcc8, t_stage_discordance"
